"","schids","ctyids","frame","subsample","fall","pla01","pla01a","pla01b","pla02","pla03","pla03a","pla04","pla05","pla06","pla07","pla08","pla09","pla09a","pla10","pla11a","pla11b","pla1201","pla1202","pla1203","pla1204","pla1205","pla1206","pla1207","pla1208","pla1209","pla1210","pla13","pla14","pla15","pla16","pla17","pla18","pla19","pla20","pla2101","pla2102","pla2103","pla2104","pla2105","pla2106","pla2107","pla22","pla22b","pla23","pla23flag","pla24","pla2501","pla2502","pla2503","pla2504","pla2505","pla2506","pla2507","pla26","pla27","plb0101a","plb0101b","plb0102a","plb0102b","plb0103a","plb0103b","plb02","plb0301a","plb0301b","plb0302a","plb0302b","plb0303a","plb0303b","plb04","plb0501","plb0502","plb0503","plb06","plb07","plb08","plb09","plb1001","plb1002","plb1003","plb1101","plb1102","plb1103","plb1201","plb1202","plb1203","plb1204","plb1205","plb1206","plb1301a","plb1301b","plb1301c","plb1302a","plb1302b","plb1302c","plb1303a","plb1303b","plb1303c","plb1401","plb1402","plb1403","plb1404","plb1405","plc0101a","plc0101b","plc0102","plc0103","plc0104","plc0105","plc0106","plc0107","plc0201","plc0202","plc0203","plc0301","plc0302","plc0303","plc0401a","plc0402a","plc0403a","plc0403b","plc0404a","plc0404b","plc0405a","plc0405b","plc0501","plc0502","plc0503","plc0504","plc0505","plc0506","plc0601","plc0602","plc07","plc07a","plc08","plc09","plc10","plc1101","plc1102","plc1103","plc1104","plc11040","plc1105","plc12","plc12a","plc13","pld01","pld0201","pld0202","pld0203","pld0204","pld0205","pld0206","pld0301","pld0302","pld0303","pld0304","pld0305","pld0306","pld0307","pld0308","pld04","pld04a","pld05","pld06","pld0701a","pld0701b","pld0701c","pld0702a","pld0702b","pld0702c","pld0703a","pld0703b","pld0703c","pld0704a","pld0704b","pld0704c","pld0705a","pld0705b","pld0705c","pld0706a","pld0706b","pld0706c","pld0801","pld0801a","pld0802","pld0802a","pld0803","pld0803a","pld0804","pld0804a","pld0805","pld0806","pld0901","pld0901a","pld0902","pld0902a","pld0903","pld0903a","pld0904","pld0904a","pld0905","pld0906","ple0101","ple0102","ple0201a1","ple0201a2","ple0201b1","ple0201b2","ple0202a1","ple0202a2","ple0202b1","ple0202b2","ple0301a","ple0301b","ple0302a","ple0302b","ple04","ple05","ple0601a1","ple0601a2","ple0601b1","ple0601b2","ple0602a1","ple0602a2","ple0602b1","ple0602b2","ple07","ple0800","ple0801","ple0802","ple0803","ple0804","ple0901","ple0902","ple0903","ple0904","ple0905","ple0906","ple10","ple1101","ple1102","ple1103","ple1104","ple1105","ple1106","ple1107","ple1108","ple12","ple13","ple14","ple1501","ple1502","ple1503","ple1504","ple16","ple17","ple1801","ple1802","ple1803","ple1804","ple1805","ple19","ple20","ple21","ple2201","ple2202","ple2203","ple2301","ple2302","ple2303","ple2304","ple2305","ple2306","ple2401","ple2402","ple2403","ple2404","ple2405","ple2406","ple2501","ple2502","ple2503","ple2601a","ple2601b","ple2601c","ple2602a","ple2602b","ple2602c","ple2603a","ple2603b","ple2603c","ple2604a","ple2604b","ple2604c","ple2605a","ple2605b","ple2605c","ple27","ple27a","ple2801","ple2802","ple2803","plf01","plf02","plf03","plf04","plf05","plf06","plf07","plf08","plf08a","plf09","plf09a","plf10","plf10a","plf11","plf12","plf13","plf1401","plf1402","plf1403","plf1404","plf1405","plf1406","plf1407","plf1501","plf1502","plf1503","plf1504","plf1505","plf1506","plf1507","plf1601","plf1602","plf1603","plf1604","plf1605","schhkplace","schhkplace_4c","schhktype","schhktype_4c","schstlb","schstlb_4c","schtype_4c","schtype_2c","schrank_5c","schrank_3c","schbrd","schloc_5c","schloc_3c","schat","schat_3c","ctyedu","ctyeduz","ctyeduc","ctytype","ctyplace","random_even_placement"
"1",9,3,1,1,0,1,NA,NA,2,2,NA,5,2,1974,1,1,1,NA,3,0,0,2,2,2,2,2,2,1,2,1,1,NA,60,4,240,114100,330,4,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0,NA,1,0,0,0,0,1,0,2,1,20,1232,20,1228,21,1075,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,80,320,0,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"",1,1,NA,NA,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,6,40,7,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,0,0,1,0,2,5,1,1,0,0,0,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,2,1977,1,NA,1,1,NA,2,NA,1,NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0,0,1,0.940886676311493,4,0.0492610819637775,1,0.0931372568011284,1,1,1,5,3,3,1,1,8,1,11.66,2.00781011581421,3,3,1,1
"2",10,3,1,1,0,1,NA,NA,2,2,NA,4,2,1976,2,2,1,200,3,0,0,2,2,2,2,1,2,1,2,1,1,36,55,4,180,43000,90,1,3,NA,NA,NA,0,0,0,0,2,NA,1,0,2,1,0,0,1,1,0,0,2,1,12,610,12,616,12,620,1,100,1,0,1,0,1,1,9,9,9,4,4,3,3,2,3,4,9,9,9,9,9,9,9,9,9,0,2,0,0,2,0,0,0,0,4,4,4,4,4,179,32,179,0,2,0,"","1：9.8",1,3,1,0,11,168,0,0,5,5,174,170,2,2,0,0,27,112,40,0,40000,30000,2,NA,4,1,2,0,0,0,0,"",1,1,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,4,2,0,NA,9,95,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,NA,0,1,5,5,7,50,17,30,7,50,17,30,8,40,8,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,2,2,2,3,2,10,1,1,1,1,1,1,1,1,3,3,1,0,0,1,0,2,5,1,1,0,0,0,3,2,2,1,2,1,0,0,0,0,0,1,3,2,3,3,2,2,1,0,0,672,NA,9,216,NA,9,380,NA,9,76,NA,9,0,NA,9,3,NA,3,3,3,2,2003,2,1963,1,5,1,1,1997,2,NA,1,82,32,20,17,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0.870466291904449,3,0.11458333581686,1,0.179487183690071,2,1,1,4,2,3,1,1,8,1,11.66,2.00781011581421,3,3,1,1
"3",11,3,1,1,0,1,NA,NA,2,2,NA,4,3,1997,2,2,1,200,3,0,NA,2,2,2,2,1,1,1,3,1,1,32,60,4,140,65000,340,4,2,48,28,11,NA,NA,NA,87,2,NA,1,0,4,1,0,0,1,1,1,0,2,1,11,730,11,730,10,596,3,100,3,0,NA,0,NA,2,NA,NA,NA,4,4,3,3,5,2,1,NA,NA,NA,1,1,1,1,1,1,0,NA,NA,0,NA,NA,0,NA,NA,2,4,4,4,4,183,38,183,0,2,2,"","",1,1,1,8,2,173,NA,NA,5,NA,177,20,1,1,1,0,25,114,43,0,42000,26400,2,NA,4,1,1,NA,NA,NA,NA,"",NA,1,10,NA,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,2,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,8,30,2,40,8,30,2,40,8,40,8,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,4,1,10,1,1,1,1,1,1,1,1,2,4,1,0,0,1,0,2,5,1,0,0,0,0,NA,2,2,1,1,1,0,0,0,0,0,1,2,3,1,2,1,2,0,0,1,555,NA,NA,165,NA,NA,230,NA,NA,110,NA,NA,NA,NA,NA,1,2012,3,3,3,2,2006,2,1963,1,5,1,1,NA,2,NA,1,24,33,18,8,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0.893805325031281,3,0.176991149783134,1,0.0873362421989441,1,1,1,4,2,3,1,1,8,1,11.66,2.00781011581421,3,3,1,1
"4",12,3,1,1,0,1,NA,NA,2,2,NA,3,3,1958,2,2,1,200,3,0,NA,2,3,2,2,2,2,1,2,NA,NA,16,46,4,50,19344,845,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,3,0,7,0,0,0,1,0,1,0,3,1,4,170,4,171,4,84,1,65,1,27,2,8,2,2,3,3,2,2,2,2,4,1,3,2,3,1,2,2,1,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,3,67,20,67,0,0,1,"10:1","7:1",2,2,2,6,20,41,0,0,11,11,51,50,2,2,6,0,10,32,18,0,39000,30000,2,NA,4,1,1,0,0,0,0,"",1,1,5,1,2,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2008,0,NA,0,NA,0,NA,0,0,1,NA,0,NA,0,NA,0,NA,0,0,5,5,7,50,16,30,7,50,16,30,7,40,7,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,2,1,2,1,4,30,2,2,2,2,1,1,1,1,3,3,1,0,0,1,0,2,5,1,1,0,0,1,3,2,2,1,1,1,1,0,1,0,1,0,3,3,2,2,2,3,1,1,0,156,40,NA,12,3,NA,48,11,NA,75,20,NA,21,6,NA,1,2012,3,3,3,2,2012,1,1974,1,5,1,1,1993,2,NA,1,19,21,21,3,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0.774193525314331,3,0.861788630485535,4,0.0967741906642914,1,1,1,3,1,3,3,2,12,2,11.66,2.00781011581421,3,3,1,1
"5",13,4,1,1,1,1,NA,NA,2,2,NA,4,3,2006,1,2,1,300,1,NA,8,3,3,2,2,2,2,2,2,1,1,18,50,4,110,270000,441,3,3,0,0,100,0,0,0,0,2,NA,4,0,7,1,0,0,0,0,0,0,2,1,4,193,5,277,6,303,2,100,1,NA,NA,NA,NA,2,2,3,3,1,1,2,2,1,3,4,9,9,9,1,2,2,2,1,1,0,0,2,0,0,2,0,1,2,3,4,3,4,4,63,30,63,0,1,0,"15:1","18:1",2,2,2,8,21,34,0,0,45,42,18,16,0,0,0,12,28,23,0,0,NA,30000,2,NA,3,1,1,0,0,0,0,"",1,1,68,1,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,NA,4,1,0,0,NA,0,0,NA,0,0,NA,240,240,NA,0,0,NA,NA,NA,NA,1,NA,0,NA,1,NA,0,NA,0,0,1,2007,1,0,1,2006,0,NA,0,1,0.5,0.5,7,0,8,30,7,0,8,30,11,45,11,45,1,1,8,0,8,30,8,0,8,30,1,1,0,0,0,0,1,1,1,1,1,1,25,1,1,1,1,1,1,1,1,3,1,2,0,0,1,0,2,4,1,1,0,0,0,2,1,2,1,1,2,0,0,0,1,0,0,3,2,2,4,2,2,1,1,0,245,0,9,NA,NA,9,198,0,9,40,NA,9,7,NA,9,3,NA,4,4,4,1,2012,1,1969,1,5,1,1,NA,2,NA,1,NA,20,2,8,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0.98412698507309,4,0.846560835838318,4,0.31746032834053,3,1,1,4,2,1,4,3,8,1,9.39,0.460518181324005,2,4,2,1
"6",15,4,1,1,1,1,NA,NA,2,1,1977,4,2,1977,1,2,1,350,2,30,8,3,3,2,3,2,2,2,3,1,1,27,50,4,200,60000,740,1,3,0,0,100,0,0,0,0,2,NA,2,0,7,1,0,0,1,1,0,0,2,3,9,411,9,408,9,423,1,99,2,1,2,0,NA,2,3,3,3,2,2,3,3,1,3,2,1,3,2,2,2,2,2,2,2,0,1,2,0,2,2,1,2,2,3,2,2,3,3,131,45,131,21,0,7,"18:1","12:1",2,1,1,0,41,90,0,1,66,60,65,69,1,1,0,25,60,45,1,NA,30000,22000,2,NA,3,1,2,0,0,0,1,"音体美",0,1,5,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,2005,0,NA,1,2003,0,NA,0,0,1,2005,0,NA,1,2003,0,NA,0,0,5,5,7,30,8,30,7,30,8,30,10,45,10,45,1,1,5,30,8,30,5,30,8,30,1,1,0,0,0,0,3,1,1,1,1,1,80,2,2,1,1,1,1,2,2,2,1,1,0,0,1,0,2,5,1,1,0,0,0,4,2,2,1,1,1,1,0,0,1,0,0,3,4,3,3,3,4,1,1,0,562,NA,9,370,NA,9,NA,NA,NA,180,NA,9,NA,NA,NA,1,1977,3,3,3,2,2008,1,1974,1,5,1,1,1995,2,NA,1,15,18,5,6,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.984536111354828,4,0.80927836894989,4,0.278350502252579,2,1,1,4,2,2,2,2,12,2,9.39,0.460518181324005,2,4,2,1
"7",21,6,1,1,1,1,NA,NA,2,1,NA,4,3,1965,2,2,1,200,3,NA,NA,2,2,2,1,1,2,1,2,1,1,35,64,2,40,9410,304,1,2,NA,NA,100,NA,NA,NA,NA,2,NA,2,1,4,1,0,0,1,0,0,0,1,1,7,479,6,434,6,372,3,89,3,11,2,NA,2,3,2,3,2,2,2,3,3,2,4,3,2,3,4,1,2,2,2,2,3,0,1,2,0,2,1,0,0,0,2,4,4,4,4,92,NA,92,0,1,1,"100：6","100：5.38",1,2,1,NA,12,80,NA,NA,19,NA,73,NA,NA,NA,NA,NA,3,57,32,NA,3200,2700,2,NA,4,1,1,0,0,0,0,"",1,1,NA,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,2006,0,NA,0,NA,0,NA,1,0,1,2006,0,NA,0,NA,0,NA,0,0,5,5,7,0,16,0,7,0,16,0,8,45,8,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,2,1,1,3,1,10,1,1,1,1,1,2,1,1,3,3,1,0,0,1,0,2,5,1,1,0,0,0,4,2,2,1,1,1,0,0,0,1,0,0,2,3,3,2,1,2,1,0,0,340,NA,NA,112,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,1,NA,3,3,3,1,2013,2,1967,1,5,1,1,1996,1,16,1,10,27,1,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0.92592591047287,4,0.431924879550934,2,0.227906972169876,2,1,1,4,2,3,2,2,9,2,8.86,0.0992562025785446,2,4,2,1
"8",22,6,1,1,1,1,NA,NA,2,2,NA,4,3,1964,1,2,1,300,2,11,8,3,3,3,3,1,2,2,2,1,1,12,40,1,40,12000,750,1,2,80,NA,15,NA,5,NA,NA,2,NA,5,0,7,1,0,0,1,1,1,0,2,1,2,61,2,74,2,48,1,100,NA,0,NA,0,NA,2,NA,NA,NA,NA,NA,2,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,1,0,0,0,4,3,3,2,4,34,18,32,0,0,3,"10：1","9：1",2,2,2,7,0,27,0,0,5,5,29,29,0,0,2,0,6,18,8,0,36000,30000,2,NA,4,1,1,0,0,0,0,"",1,1,4,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,4,2,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,2008,0,NA,1,2009,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,0,15,15,6,30,18,0,7,45,10,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,3,2,2,1,3,65,1,1,1,1,1,1,1,1,3,3,1,0,0,1,0,2,5,1,1,0,0,0,4,2,2,2,2,2,1,0,1,1,0,0,3,4,3,3,2,1,1,0,0,66,0,NA,14,0,NA,12,0,NA,11,0,NA,29,0,NA,3,NA,3,3,3,1,2005,1,1967,1,5,1,1,2009,2,NA,1,20,29,27,9,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.990291237831116,4,0.815533995628357,4,0.233009710907936,2,1,1,4,2,2,5,3,8,1,8.86,0.0992562025785446,2,4,2,1
"9",23,6,1,1,1,1,NA,NA,2,1,NA,5,2,1981,2,2,1,200,3,0,NA,3,3,2,3,2,3,3,2,1,1,37,56,3,70,20000,700,1,3,100,0,0,0,0,0,0,2,NA,1,0,4,1,0,0,1,1,0,0,NA,NA,10,520,10,490,9,NA,1,92,1,8,1,0,2,3,3,3,3,1,2,5,4,2,1,4,1,2,3,2,1,1,1,1,1,0,3,5,0,5,7,0,0,0,4,4,4,4,4,139,32,139,0,0,0,"18：1","14：1",3,3,3,NA,14,125,1,0,47,47,90,90,1,1,NA,NA,22,79,38,NA,35000,29000,2,NA,4,1,2,0,0,0,0,"",1,1,12,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,2008,0,NA,0,NA,0,NA,1,0,1,2008,0,NA,0,NA,0,NA,1,0,0.5,0.5,7,10,16,5,7,10,16,5,8,45,8,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,2,1,23,1,1,2,1,1,1,1,1,3,3,1,0,0,1,0,2,4,0,1,1,0,0,3,1,2,1,3,1,1,0,0,1,0,0,2,4,3,4,3,3,0,0,1,531,4,NA,161,0,NA,104,3,NA,71,0,NA,NA,NA,NA,1,NA,4,4,3,1,2013,1,1969,1,5,1,1,1995,2,NA,1,89,24,5,16,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.967032968997955,4,0.574585616588593,2,0.137362644076347,2,1,1,5,3,3,1,1,9,2,8.86,0.0992562025785446,2,4,2,1
"10",24,6,1,1,1,1,NA,NA,2,1,NA,4,3,1987,1,2,1,200,3,0,NA,3,2,2,2,1,2,1,2,1,1,28,50,1,50,17000,700,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,2,0,3,1,0,0,1,1,0,0,2,2,6,298,6,304,6,312,2,87,2,3,2,10,2,2,3,3,4,2,2,2,2,2,1,3,3,1,2,2,2,2,2,2,2,0,4,2,0,2,3,0,0,0,4,2,2,3,4,96,32,96,0,4,0,"100：9","100：9",3,3,3,1,2,93,0,0,1,1,95,89,0,NA,0,0,15,53,28,0,36000,30000,2,NA,4,1,1,0,0,0,1,"地理，历史",0,1,6,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2008,0,NA,0,NA,0,NA,0,0,1,2008,0,NA,0,NA,0,NA,0,0,5,5,7,0,4,30,7,0,4,30,8,45,8,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,3,2,2,2,2,10,2,2,2,1,1,2,1,1,3,4,1,0,0,1,0,2,5,1,1,0,0,0,3,2,2,2,2,1,1,0,0,1,0,0,3,4,4,3,2,4,1,1,0,328,NA,NA,98,NA,NA,122,NA,NA,101,NA,NA,7,NA,NA,1,NA,1,1,1,2,2010,2,1978,1,6,1,1,2002,2,NA,1,8,11,11,4,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0.924882650375366,4,0.666666686534882,3,0.197183102369308,2,1,1,4,2,3,2,2,12,2,8.86,0.0992562025785446,2,4,2,1
