"","ids","clsids","schids","ctyids","frame","subsample","fall","grade9","ba01","ba02","ba03","ba04","ba05","ba06","ba07","ba0801","ba0802","ba0803","ba0804","ba0805","ba0806","ba0807","ba0808","ba09","ba10","ba11","ba12","ba13","ba1401","ba1402","ba1403","ba1404","ba1405","ba15","ba16","ba1701","ba1702","ba1703","ba1704","ba1705","ba1706","ba18","ba19","ba20","ba21","bb01","bb02","bb0300","bb0301","bb0302","bb0303","bb0304","bb0305","bb0306","bb04","bb0500","bb0501","bb0502","bb0503","bb0504","bb0505","bb0506","bb06","bb07","bb08","bb09","bb10","bb1101","bb1102","bb1103","bb1201","bb1202","bb1203","bb1204","bb1205","bb1206","bb1207","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bc0101","bc0102","bc0103","bc0104","bc0105","bc0106","bc0201","bc0202","bc0203","bc0204","bc0205","bc0206","bc0207","bc0208","bc0209","bc0301","bc0302","bc0303","bc0304","bc0305","bc0306","bc0307","bc0308","bc04","bc04a","bc04b","bc04c","bc05a","bc05b","bc05c","bc05d","bc05e","bc05f","bc05g","bc0601","bc0602","bc0603","bc0603a","bc0604","bc0605","bc07","bc08","bc09","bc10","bc11","bc12","bc1300","bc1301","bc1302","bc1303","bc1304","bc1305","bc1306","bc1307","bc1308","bc1309","bc14","bd01","bd02","bd03","bd04","bd05","bd06","bd07","bd08","bd09","bd10","bd11","bd12a","bd12b","bd13","bd14","bd14a","bd14b","bd1500","bd1501","bd1502","bd1503","bd1504","bd1505","bd1506","bd1507","bd1601","bd1601a","bd1602","bd1603","bd1604","bd1605","bd1606","bd1607","bd1701","bd1702","bd1703","bd1704","be01","be02","be03","be04","be05","be06","be07","be08","be09","be1001","be1002","be1003","be1101","be1102","be1201","be1202","be1203","be1204","be1205","be1206","be1207","be1301","be1302","be1303","be1304","be14","be15","be15a","be16","be17","be18","be19","be20","be21","be22","be23","be24","be25","be26","be27","be28","be29","be30","be3101","be3102","be3103","be3104","be3105","be3106","be3107","be3108","be3201","be3202","be3203","be3204","be3301","be3302","be3303","random_even_placement"
"1",1055,33,9,3,1,1,0,0,1,1,3000,5,2,20,1,2,3,3,3,2,2,3,3,2,3,2,1,6,3,3,3,3,3,1,1,6,6,3,6,3,2,9,2,5,4,1,3,0,1,1,1,1,1,1,3,0,0,1,0,0,0,1,3,5,5,4,2,4,4,4,1,1,1,1,1,1,1,2,2,3,3,3,3,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,NA,NA,NA,0,0,168,0,0,99999,0,0,0,0,NA,0,1,62,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,9997,0,1,3,2,6.80000019073486,170,130,5,1,"300","300",1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,4,4,4,4,1969,1,1,3,1989,1,8,1,5,3,2,4,2,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,1,0,0,0,1,0,1,0,3,3,3,1
"2",1056,33,9,3,1,1,0,0,2,2,NA,5,2,20,1,2,3,3,3,2,3,2,2,4,1,1,0,3,2,2,2,3,3,1,1,6,6,5,4,2,3,7,5,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,1,0,3,4,5,4,2,3,3,3,1,1,0,1,0,1,1,1,1,3,3,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,0,0,0,NA,1,0,62,5,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,NA,0,1,3,2,7,165,96,4,2,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,3,4,1978,1,1,3,NA,1,8,1,4,3,2,3,2,1,0,0,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,1,0,1,1,0,0,1,1,0,0,3,3,3,1
"3",1057,33,9,3,1,1,0,0,2,1,2400,3,2,60,1,2,3,3,3,3,2,2,2,1,3,1,0,2,3,3,2,3,3,1,1,6,4,6,6,2,2,8,1,3,3,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,3,5,5,5,1,4,4,4,1,0,0,1,0,1,0,2,1,3,3,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,0,168,0,NA,99999,NA,NA,NA,NA,NA,NA,NA,62,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,3,3,2,7.19999980926514,168,110,5,NA,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,1,0,4,4,4,4,1972,1,1,2,9997,3,7,10,4,3,2,4,2,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,1
"4",1058,33,9,3,1,1,0,0,1,1,1200,3,2,10,1,3,3,3,3,3,2,NA,3,4,2,1,1,12,3,3,3,3,2,1,1,5,4,4,4,2,2,8,2,5,4,1,3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,3,5,4,4,2,4,3,4,1,1,0,0,1,1,0,2,2,1,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,150,NA,NA,99999,NA,0,0,0,NA,0,1,62,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,9997,0,3,3,2,64,160,82,5,1,"400","600",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,4,4,1972,1,1,2,9997,1,7,1,5,2,3,1,3,1,1,1,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,0,0,3,2,1,1
"5",1059,33,9,3,1,1,0,0,2,2,0,3,3,30,3,2,3,3,3,2,2,3,2,4,1,1,1,4,2,2,2,2,2,2,2,6,5,6,5,3,3,9,9,5,3,1,3,0,1,1,0,0,0,0,3,0,1,1,1,0,1,1,3,5,5,4,2,4,4,3,1,1,1,0,0,1,1,2,2,3,3,3,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,NA,NA,0,0,0,0,0,0,600,0,0,1,0,0,1,60,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,2013,2,3,2,7,166,140,5,2,"","",1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,4,4,4,4,1976,1,1,1,NA,3,4,7,4,2,2,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,2,1,1,1,1,6,0,0,0,0,0,0,0,1,1,0,0,0,2,3,3,1
"6",1060,33,9,3,1,1,0,0,1,1,3600,3,3,70,1,3,3,3,3,2,2,3,3,4,3,1,0,2,3,2,2,2,2,1,1,6,5,5,6,3,2,7,4,2,4,1,4,0,1,1,0,0,0,0,4,0,1,1,0,0,1,0,2,5,5,4,2,4,3,3,1,1,0,0,0,1,1,1,1,3,3,3,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,168,200,0,99999,0,0,0,0,NA,0,1,62,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,2000,2,3,2,7,176,130,5,2,"","",1,0,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,4,4,3,4,1976,1,1,1,NA,1,8,2,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,5,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,1
"7",1061,33,9,3,1,1,0,0,1,1,4000,5,1,10,2,2,2,3,3,2,2,2,2,4,2,1,1,2,2,2,2,3,2,1,2,6,6,6,5,3,3,8,4,2,3,1,3,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,4,4,2,1,4,3,3,1,1,0,0,0,1,1,1,1,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,178,0,168,0,0,99999,0,0,0,0,NA,1,0,62,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,4,2,5.80000019073486,158,78,4,1,"450","500",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,3,4,1973,1,1,2,1992,3,8,1,5,2,3,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,4,2,4,2,6,2,4,1,1,1,1,4,0,1,1,0,1,1,0,0,1,0,1,1,3,3,3,1
"8",1062,33,9,3,1,1,0,0,1,1,980,5,1,30,2,3,3,3,3,3,3,3,3,4,1,2,1,6,3,3,3,3,3,3,3,6,6,6,6,6,6,7,4,5,3,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,3,4,4,3,1,4,4,4,1,1,0,1,0,1,0,1,1,3,3,3,3,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,0,0,0,NA,0,1,62,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,6.69999980926514,167,130,5,1,"300","400",1,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,4,4,4,4,1973,1,1,2,9997,3,6,7,5,4,1,2,1,5,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,5,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,1
"9",1063,33,9,3,1,1,0,0,2,1,2600,5,0,50,3,2,2,3,3,1,1,2,2,4,1,1,1,1,2,1,1,2,2,1,1,6,6,6,4,2,3,9,2,5,4,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,3,5,5,5,2,4,3,3,1,1,0,0,0,1,1,1,1,3,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,168,0,168,0,0,0,0,0,0,0,NA,0,1,61,4,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,2,3,2,6.09999990463257,175,105,5,1,"400","400",1,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,4,4,4,4,1976,1,1,2,1995,1,8,1,3,4,2,4,2,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,3,3,1
"10",1064,33,9,3,1,1,0,0,2,2,0,4,1,20,1,2,3,3,3,2,2,3,2,4,3,1,1,2,2,2,2,3,3,1,1,6,6,6,6,6,6,7,1,5,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,5,5,4,1,4,4,4,0,0,0,0,0,1,0,2,2,3,3,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,0,0,0,NA,0,1,62,4,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,7.40000009536743,162,102,5,2,"","",1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,4,4,4,4,1978,3,1,2,9997,3,7,1,5,4,3,3,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,0,0,1,0,1,1,1,1,4,4,4,1
