"","ids","clsids","schids","ctyids","frame","subsample","sweight","fall","grade9","stcog","cog3pl","tr_chn","tr_mat","tr_eng","stdchn","stdmat","stdeng","a01","a02a","a02b","a03","a04","a05","a06","a07","a08","a09","a09a","a10","a11","a1201","a1202","a1203","a1204","a1205","a1206","a1207","a13","a14","a15","a15a","a15b","a16","a17","a1801","a1802","a1803","a1804","a1805","b01","b0201","b0202","b0203","b0204","b03","b0401","b0402","b0403","b0404","b0405","b0406","b0501","b0502","b0503","b0504","b06","b07","b08a","b08b","b09","b1001","b1002","b1003","b11","b12","b13","b14a1","b14a2","b14b1","b14b2","b15a1","b15a2","b15b1","b15b2","b15c1","b15c2","b15d1","b15d2","b15e1","b15e2","b15f1","b15f2","b15g1","b15g2","b16a1","b16a2","b16b1","b16b2","b16c1","b16c2","b16d1","b16d2","b16e1","b16e2","b16f1","b16f2","b16g1","b16g2","b1701","b1702","b18a","b18b","b1900","b1901","b1902","b1903","b1904","b1905","b1906","b1907","b1908","b1909","b1910","b1911","b2000","b2001","b2002","b2003","b2004","b2005","b2006","b2007","b2101","b2102","b2103","b2104","b2105","b2106","b2201","b2202","b2301","b2302","b2303","b2304","b2305","b2306","b2307","b2308","b24a1","b24b1","b24a2","b24b2","b24a3","b24b3","b24a4","b24b4","b24a5","b24b5","b2501","b2502","b2601","b2602","b2603","b27","b2801","b2802","b2803","b2804","b2805","b2806","b29","b30","b31","b32","b33","b34","b35","c01","c01a","c02","c03","c04","c05","c06","c07","c07a","c08","c09","c1001","c1002","c1003","c1101","c1102","c1103","c12","c1301","c1302","c1303","c1304","c1305","c1306","c1307","c1308","c1309","c14","c15","c16","c1701","c1702","c1703","c1704","c1705","c1706","c1707","c1708","c1709","c1710","c1711","c1712","c18","c19","c20b1","c20c1","c20d1","c20e1","c20b2","c20c2","c20d2","c20e2","c20b3","c20c3","c20d3","c20e3","c20b4","c20c4","c20d4","c20e4","c20b5","c20c5","c20d5","c20e5","c2101","c2102","c2103","c2104","c2105","c2106","c2107","c2108","c2109","c2110","c22","c23","c24","c25","c26a1","c26b1","c26a2","c26b2","c26a3","c26b3","c26a4","c26b4","c27","c28a1","c28b1","c28a2","c28b2","c28a3","c28b3","c28a4","c28b4","c29","c3000","c3001","c3002","c3003","c31","c32","c33","stsex","stsexflag","sthkplace","sthktype","stmigrant","stlb_4c","stlb_2c","st0","stbrd","steco_5c","steco_3c","stonly","stsib","stsibrank","stmedu","stfedu","stprhedu","stfdrunk","stprfight","stprrel","random_even_placement"
"1",1055,33,9,3,1,1,2489.9326171875,0,0,17,1.57786798477173,74,87,88.5,71.7708053588867,68.734619140625,72.7193298339844,1,2000,12,1,1,1,2,0,1,2,4.19999980926514,2,3,4,4,4,4,4,4,4,170,130,1,"300","300",2,5,3,3,1,1,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,7,8,2,1,3,NA,NA,2,1,5,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,0,4,0,5,0,3,0,0,0,0,0,1,0,5,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1,1,6,6,6,NA,3,3,5,1,9,4,10,4,4,1,4,7,0,0,3,1,1,1,14,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,4,4,1,4,1,1,1,4,1,2,10,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,9,10,4,3,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,3,0,3,2,1,NA,NA,7,8,8,NA,NA,2,1
"2",1056,33,9,3,1,1,2489.9326171875,0,0,12,0.146955996751785,60,69,24,58.1832847595215,54.6229095458984,40.7780609130859,1,2001,6,1,1,1,3,0,1,2,0,3,3,3,3,3,3,3,3,3,165,95,2,"","",2,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,7,7,1,1,3,1,1,1,1,3,2,1,30,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,4,3,3,3,3,3,3,3,3,2,1,2,1,2,1,2,1,2,1,3,1,1,1,1,1,6,5,5,5,3,3,5,3,6,3,6,3,4,1,2,6,0,0,0,0,1,1,35,1,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,1,2,2,2,1,1,2,2,2,3,3,4,4,4,1,1,2,4,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1,1,6,3,3,3,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,2,1,4,0,3,2,1,NA,NA,7,7,7,1,1,1,1
"3",1057,33,9,3,1,1,2489.9326171875,0,0,8,-0.487105995416641,66,92,89,64.0065078735352,72.654541015625,72.9669342041016,1,2001,2,1,1,1,2,0,1,2,0,3,3,4,4,4,4,3,3,3,167,110,2,"","",2,4,2,1,2,1,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,7,8,6,3,3,NA,NA,NA,1,3,2,2,0,2,30,1,0,0,0,1,0,0,30,0,30,0,0,0,0,4,0,3,0,2,0,1,0,2,0,2,0,0,0,2,3,7,30,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,3,1,2,1,1,6,5,5,5,3,3,5,2,8,3,1,3,3,1,4,7,0,0,0,0,1,1,15,2,3,2,4,2,2,3,3,3,4,3,3,3,3,3,3,3,1,1,1,2,1,1,3,2,3,3,3,2,3,2,2,2,10,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,1,1,1,8,1,3,4,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,3,0,3,2,1,NA,NA,7,8,8,NA,NA,NA,1
"4",1058,33,9,3,1,1,2489.9326171875,0,0,10,0.251807987689972,66,89,91,64.0065078735352,70.3025894165039,73.9573669433594,1,2001,8,1,1,1,3,0,1,2,0,2,3,3,4,4,3,3,3,2,160,82,2,"","",2,4,3,2,3,2,3,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,3,7,6,6,3,1,1,2,1,3,2,2,0,3,20,0,0,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,2,3,3,3,3,3,2,3,3,3,2,3,1,2,3,1,1,1,1,3,3,1,1,1,1,6,5,5,6,3,3,4,2,6,2,11,6,4,1,3,7,0,0,0,0,1,NA,20,1,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,3,2,3,4,3,3,3,1,1,2,30,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,1,2,1,1,1,1,6,8,5,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,3,0,3,2,1,NA,NA,3,7,7,1,1,2,1
"5",1059,33,9,3,1,1,2489.9326171875,0,0,15,1.23506796360016,78,100,98.5,75.6529541015625,78.9264144897461,77.6714630126953,1,2000,10,1,1,1,3,14,1,2,0,2,3,NA,NA,NA,NA,NA,NA,NA,169,145,3,"","",2,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,6,6,7,7,3,1,1,2,1,1,2,4,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,4,0,1,0,3,4,8,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,1,3,3,2,2,3,3,1,2,2,2,6,2,6,1,3,3,4,1,9,1,1,3,4,1,2,8,0,0,0,0,1,3,1,2,4,4,4,3,3,3,5,4,4,4,3,3,3,2,2,2,1,1,1,1,1,1,2,2,4,3,3,2,3,4,4,2,40,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,9,1,3,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,2,1,8,0,3,2,1,NA,NA,6,6,6,1,1,2,1
"6",1060,33,9,3,1,1,2489.9326171875,0,0,10,-0.134448006749153,NA,NA,NA,NA,NA,NA,1,2000,10,1,1,2,1,0,1,2,7.5,2,4,4,4,4,4,4,3,4,176,132,3,"","",2,5,2,1,1,1,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,7,8,2,2,4,1,1,2,1,5,2,2,0,2,0,NA,30,0,0,NA,40,1,0,0,0,0,0,0,0,NA,30,2,0,2,0,1,0,3,0,0,0,0,0,1,3,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,4,3,3,3,2,2,2,3,3,3,2,3,2,3,2,3,2,3,2,3,3,2,2,1,1,6,6,6,6,3,3,5,2,7,4,1,4,4,1,NA,7,0,0,0,0,1,1,18,1,4,4,4,3,3,2,2,4,4,4,NA,3,3,1,1,1,1,1,1,1,1,1,2,2,3,4,2,4,1,1,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,7,1,3,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,0,7,0,3,2,1,NA,NA,7,8,8,1,1,2,1
"7",1061,33,9,3,1,1,2503.97436523438,0,0,10,0.138917997479439,61,84,77.5,59.1538238525391,66.3826675415039,67.2719802856445,2,2001,8,1,1,1,3,0,1,1,0,1,3,3,4,3,4,3,2,4,160,78,1,"445","500",2,4,2,1,2,2,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,4,8,1,1,3,1,1,2,1,4,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,4,2,3,3,2,2,3,3,3,3,3,2,2,1,2,2,1,3,1,3,2,2,2,2,1,6,1,5,1,1,1,4,2,6,2,5,6,4,1,3,6,0,0,0,0,1,1,20,1,2,1,3,2,1,3,2,4,4,3,2,2,2,3,2,2,2,2,2,1,1,1,2,1,3,3,4,3,3,1,1,2,4,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,NA,NA,NA,NA,2,2,2,1,1,1,1,1,1,1,6,5,4,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,3,0,4,3,1,NA,NA,4,8,8,1,1,2,1
"8",1062,33,9,3,1,1,2503.97436523438,0,0,16,1.38371896743774,76,97,94,73.7118759155273,76.574462890625,75.443000793457,2,2001,1,1,1,1,2,0,1,2,6.69999980926514,2,3,4,4,4,3,3,3,4,167,130,2,"","",2,5,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,6,6,7,7,4,1,1,2,1,5,2,2,0,0,30,0,30,0,30,0,0,0,30,0,0,0,30,0,40,0,20,2,0,0,0,0,30,1,0,0,0,0,40,1,4,8,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,4,2,3,2,3,3,2,3,3,1,3,3,2,2,3,3,1,1,3,3,3,3,5,1,1,1,6,1,6,6,3,4,5,2,7,5,1,3,2,1,4,6,0,0,0,0,1,1,5,1,4,4,4,3,3,3,3,4,4,4,3,4,4,3,4,3,2,2,2,1,1,1,3,1,4,4,4,4,3,1,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,1,1,1,1,1,8,4,3,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,3,0,3,2,1,NA,NA,6,6,6,1,1,2,1
"9",1063,33,9,3,1,1,2489.9326171875,0,0,15,0.800756990909576,77,94,99,74.6824188232422,74.2225112915039,77.919075012207,1,2000,8,1,1,1,3,0,1,2,0,1,3,4,4,4,4,4,3,4,175,105,1,"400","400",2,5,3,3,2,1,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,7,7,1,2,4,1,1,2,1,5,2,2,0,1,0,0,30,0,0,0,0,0,5,0,20,0,30,0,0,0,0,1,0,0,0,0,30,1,0,2,0,0,0,1,2,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,4,4,3,3,3,3,2,1,2,1,2,2,2,2,2,2,3,3,3,3,3,3,1,1,2,1,6,1,6,4,2,3,5,1,9,2,2,3,4,1,4,7,0,0,0,0,1,2,3,1,3,2,4,3,1,4,5,2,3,4,1,1,4,1,1,4,2,2,2,1,1,1,1,2,3,2,4,3,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,1,1,3,1,1,1,1,1,1,1,9,2,3,4,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,3,0,3,2,1,NA,NA,7,7,7,1,1,2,1
"10",1064,33,9,3,1,1,2503.97436523438,0,0,10,0.0793249979615211,81,91,90.5,78.5645599365234,71.8705596923828,73.7097549438477,2,2001,10,1,1,1,2,NA,1,2,0,2,3,3,4,4,4,3,4,4,162,102,3,"","",1,5,1,1,2,1,1,1,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,7,8,6,6,3,1,1,1,1,5,2,2,0,1,30,1,0,0,0,0,30,1,0,0,30,0,30,0,40,1,0,0,0,0,20,1,30,0,40,0,30,0,40,5,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,3,4,3,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,3,3,1,1,1,1,6,5,5,3,2,2,5,3,7,2,11,4,4,1,3,6,0,0,0,0,1,1,15,1,3,4,4,2,2,2,3,4,4,4,2,2,4,3,3,3,2,2,2,1,1,1,3,1,4,4,4,2,4,1,1,2,50,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,3,2,3,1,1,1,1,1,1,1,7,6,4,4,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,3,0,3,2,1,NA,NA,7,8,8,1,1,1,1
